sportradar_player_id,name,display_name,first_name,last_name,position,jersey,height,weight,birth_date,birth_place,experience,college,high_school,draft_year,draft_round,draft_pick,draft_team,status,rookie,years_pro,team_id,team_name,team_alias,team_market,updated,export_timestamp
014613d0-057f-11ef-b81d-51c506ab6dea,Drake Nugent,,Drake,Nugent,OL,66.0,73,300.0,2001-02-09,"Lone Tree, CO, USA",1,Michigan,Highlands Ranch (CO),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262561
0589b224-bfc7-47a5-b89d-ff58ef2dcf21,Tre Brown,,Tre,Brown,CB,22.0,70,185.0,1997-09-24,"Tulsa, OK, USA",5,Oklahoma,Union (OK),2021.0,4.0,,"{'id': '3d08af9e-c767-4f88-a7dc-b920c6d2b4a8', 'name': 'Seahawks', 'market': 'Seattle', 'alias': 'SEA', 'sr_id': 'sr:competitor:4430'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262578
07b963d4-aef7-4874-ba04-f9b1ec1142d3,Bryce Huff,,Bryce,Huff,DL,47.0,75,255.0,1998-04-17,"Mobile, AL, USA",6,Memphis,St. Paul's Episcopal (AL),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262583
0c9102ea-9fe8-4900-9d33-8eab299cf9ce,Chazz Surratt,,Chazz,Surratt,LB,46.0,74,233.0,1997-02-16,"Denver, NC, USA",4,North Carolina,East Lincoln (NC),2021.0,3.0,,"{'id': '33405046-04ee-4058-a950-d606f8c30852', 'name': 'Vikings', 'market': 'Minnesota', 'alias': 'MIN', 'sr_id': 'sr:competitor:4423'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262594
0ed4e34e-cf29-4579-ad3b-c5c94c701d22,Connor Colby,,Connor,Colby,OL,75.0,77,309.0,2003-01-16,"Cedar Rapids, IA, USA",0,Iowa,John F. Kennedy (IA),2025.0,7.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262598
0f78cd80-2301-11f0-9ada-6f0f03a59a12,Jakob Robinson,,Jakob,Robinson,CB,49.0,70,181.0,,"Orem, UT, USA",0,BYU,Orem (UT),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262603
129815b7-f914-4155-b8e3-e93021670dd7,Spencer Burford,,Spencer,Burford,OL,74.0,76,300.0,2000-07-19,"San Antonio, TX, USA",4,UTSA,Wagner (TX),2022.0,4.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262608
1a7caa50-2fa5-4651-85d6-05cda9d9b3b3,Colton McKivitz,,Colton,McKivitz,OL,68.0,78,301.0,1996-08-09,"Jacobsburg, OH, USA",6,West Virginia,Union Local (OH),2020.0,5.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262612
1b412617-dee5-4c07-bdfc-e26eeff7fe80,Kurtis Rourke,,Kurtis,Rourke,QB,4.0,76,220.0,2000-10-25,"Oakville, ON, CAN",0,Indiana,Holy Trininty (ON),2025.0,7.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262617
247d9790-2574-11f0-8bf8-a78d98770897,Stone Blanton,,Stone,Blanton,LB,50.0,73,227.0,,"Jackson, MS, USA",0,Mississippi State,Madison-Ridgeland (MS),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262630
26d8a2c0-22fc-11f0-8ef7-9d1c6b97ed67,Drew Moss,,Drew,Moss,OL,55.0,75,303.0,,"Richardson, TX, USA",0,Colorado State,Richardson (TX),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262634
2a86a6b4-58ef-42f5-aff9-d5d979bea6c7,Kevin Givens,,Kevin,Givens,DL,90.0,73,285.0,1997-03-01,"Newark, NJ, USA",6,Penn State,Altoona (PA),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262638
2b93704f-fab1-40b3-b13e-07d85303bb25,Renardo Green,,Renardo,Green,CB,0.0,72,186.0,2000-11-09,"Orlando, FL, USA",2,Florida State,Wekiva (FL),2024.0,2.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262648
30ee4a00-04fb-11ef-bec6-79d1846dfa68,Carter Bradley,,Carter,Bradley,QB,17.0,75,213.0,2000-03-09,"Jacksonville, FL, USA",1,South Alabama,Providence (FL),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262652
3a886c50-d3a0-11ec-96a0-c3471a31202c,Dallis Flowers,,Dallis,Flowers,CB,35.0,73,196.0,1997-06-04,"Chicago, IL, USA",4,Pittsburg State,Oak Park-River Forest (IL),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262656
3a8c7440-0584-11ef-a728-9b9d81627453,Evan Anderson,,Evan,Anderson,DL,58.0,75,326.0,2002-02-14,"West Orlando, FL, USA",2,Florida Atlantic,Jones (FL),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262660
3beaed67-ca01-4603-be1f-78abfb6037b5,Richie Grant,,Richie,Grant,SAF,24.0,72,200.0,1997-11-09,"Lumberton, MS, USA",5,UCF,Choctawhatchee (FL),2021.0,2.0,,"{'id': 'e6aa13a4-0055-48a9-bc41-be28dc106929', 'name': 'Falcons', 'market': 'Atlanta', 'alias': 'ATL', 'sr_id': 'sr:competitor:4393'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262669
445efcfc-1646-4823-89f7-8b6005266d13,Jordan Elliott,,Jordan,Elliott,DL,92.0,76,303.0,1997-11-23,"Missouri City, TX, USA",6,Missouri,Westside (TX),2020.0,3.0,,"{'id': 'd5a2eb42-8065-4174-ab79-0a6fa820e35e', 'name': 'Browns', 'market': 'Cleveland', 'alias': 'CLE', 'sr_id': 'sr:competitor:4417'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262678
47d7bf64-314d-4f9a-a0b4-d928efc7d0da,Nick Martin,,Nick,Martin,LB,45.0,71,221.0,2002-10-13,"Texarkana, TX, USA",0,Oklahoma State,Pleasant Grove (TX),2025.0,3.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262692
489ad3d0-303d-11f0-b3d6-7fc7c050227e,Derrick Canteen,,Derrick,Canteen,SAF,40.0,70,193.0,,"Evans, GA, USA",0,Cincinnati,Evans (GA),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262696
4c1b3190-50e2-4918-8e3b-7bb012f8b304,Curtis Robinson,,Curtis,Robinson,LB,59.0,75,235.0,1998-06-02,"Irvine, CA, USA",4,Stanford,Mater Dei (CA),,,,,ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262700
4e1e4a5a-a8c2-45e8-8c0b-c8ac10724666,C.J. West,,C.J.,West,DT,99.0,73,316.0,2002-06-12,"Chicago, IL, USA",0,Indiana,Nazareth Academy (IL),2025.0,4.0,,"{'id': 'f0e724b0-4cbf-495a-be47-013907608da9', 'name': '49ers', 'market': 'San Francisco', 'alias': 'SF', 'sr_id': 'sr:competitor:4389'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262705
53b64223-ded9-41c1-9d2b-a8c2de8963d0,Ben Bartch,,Ben,Bartch,OL,78.0,78,315.0,1998-07-22,"Dayton, OR, USA",6,St. John's (MN),Blanchet Catholic (OR),2020.0,4.0,,"{'id': 'f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de', 'name': 'Jaguars', 'market': 'Jacksonville', 'alias': 'JAC', 'sr_id': 'sr:competitor:4386'}",ACT,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262709
5478c682-15ff-4932-97f3-6725c413c2c1,Isaac Alarcon,,Isaac,Alarcon,OL,67.0,79,320.0,1998-07-27,"Monterrey,, MEX",1,Tecnologico de Monterrey (MEX),UANL (MEX),,,,,SUS,,,f0e724b0-4cbf-495a-be47-013907608da9,49ers,SF,San Francisco,,2025-08-06T22:12:53.262713
